EID,Sex,Age,EHQ_Total,Commercial_Use,Full_Pheno
NDARHE260GG4,0,14.11248,13.34,Yes,No
NDARER318CE4,0,16.039698,100.05,Yes,No
NDARXT641NBY,1,10.615674,-93.38,Yes,No
NDARCC909PYL,1,10.101186,93.38,Yes,No
NDARNM068ZRC,1,10.857289,-73.37,Yes,No
NDARKD168VHJ,0,12.181724,64.5,Yes,No
NDARHU478PNH,0,11.793064,-73.37,Yes,No
NDARBF402JLH,0,5.755989,6.67,Yes,No
NDARXF766BLW,0,15.467145,52.29,Yes,No
NDARJY356YBK,1,5.707049,97.85,Yes,No
NDARVW217KW6,0,6.881473,94.51,Yes,No
NDARKY690JBA,0,12.154346,10.01,Yes,No
NDARZX442LFQ,0,9.619096,88.98,Yes,No
NDARNR630AK6,0,9.548596,93.38,Yes,No
NDARTT411JAR,0,7.141341,36.69,Yes,No
NDARAT193FC0,1,11.078599,86.71,Yes,No
NDARMR744CZ7,0,7.755076,-27.75,Yes,No
NDARXE058PZF,0,6.905886,33.35,Yes,No
NDARRF676GBD,0,9.870978,10.01,Yes,No
NDARDX448UMJ,0,13.933949,93.38,Yes,No
NDARZW426CT2,1,5.830481,73.37,Yes,No
NDARDT517BC5,0,5.789071,100.05,Yes,No
NDARRK617NRL,0,8.143851,100.05,Yes,No
NDARFH099KNX,0,10.648528,90.05,Yes,No
NDARZZ598MH8,0,8.578713,86.71,Yes,No
NDAREX726VYV,0,8.03947,86.71,Yes,No
NDARYW313ZM5,1,8.089094,66.7,Yes,No
NDARGV434RTP,1,12.627994,43.35,Yes,No
NDARRP175MBY,1,17.033196,100.05,Yes,No
NDARWE850WRP,0,6.572438,40.02,Yes,No
NDARMX196KKY,0,10.142026,100.05,Yes,No
NDARGZ301KFG,0,9.430298,86.71,Yes,No
NDARWB471PET,0,10.287702,80.04,Yes,No
NDARUM301RDE,0,13.285535,60.03,Yes,No
NDARMU443RHZ,0,17.797284,90.11,Yes,No
NDARCB492BAD,0,9.808008,6.67,Yes,No
NDAREG806MMA,0,6.200091,26.68,Yes,No
NDARGG655YCT,0,6.837554,93.38,Yes,No
NDAREN691WTC,1,11.250855,53.36,Yes,No
NDARZF679JLV,0,16.866187,100.05,Yes,No
NDARWL250JU3,0,9.978097,100.05,Yes,No
NDARUZ408MRL,0,9.851927,80.04,Yes,No
NDARTV031GX8,1,14.623887,83.38,Yes,No
NDARXN325JBD,1,8.288615,93.38,Yes,No
NDARFV289RKB,0,9.369952,60.03,Yes,No
NDARYH501UH3,0,9.479466,50.02,Yes,No
NDARCP698AT5,1,9.863221,60.03,Yes,No
NDARER054VLK,0,7.338466,22.21,Yes,No
NDARNR442PFH,1,6.887291,97.85,Yes,No
NDARMU320XRT,0,7.626511,66.7,Yes,No
NDARCN497LVY,0,15.738877,NULL,Yes,No
NDARCN497LVY,0,15.738877,100.05,Yes,No
NDARGN534LJB,1,7.590349,50.02,Yes,No
NDARDP815CNW,0,5.887976,60.03,Yes,No
NDARRH908NZD,0,10.298653,93.38,Yes,No
NDARZV458LDP,1,15.763175,53.36,Yes,No
NDARHY484FBX,1,8.833333,86.71,Yes,No
NDARBF911MLX,1,5.641569,100.05,Yes,No
NDARWC819TRH,1,7.571184,86.71,Yes,No
NDARAP267CAG,1,6.843486,6.67,Yes,No
NDARDV421ZWE,0,11.74093,33.35,Yes,No
NDARCN515KCL,0,10.777435,73.37,Yes,No
NDARLK470PKD,0,7.188341,58.9,Yes,No
NDARDW252TCB,0,8.729751,86.71,Yes,No
NDARKX640YF6,1,9.877367,60.03,Yes,No
NDARPC356JKP,0,9.909308,73.37,Yes,No
NDARTT476DAT,0,7.566392,80.04,Yes,No
NDARBF575JUL,0,5.679329,14.47,Yes,No
NDARXH863ZXA,0,12.499429,100.05,Yes,No
NDARVK499ETJ,0,6.317818,46.69,Yes,No
NDARJV697PMQ,1,7.782112,100.05,Yes,No
NDARTH173DWQ,0,9.775154,80.04,Yes,No
NDARNL982TBG,0,6.322724,93.38,Yes,No
NDARDF877LW4,0,13.312457,-70.03,Yes,No
NDARGZ939JYZ,1,9.195414,80.04,Yes,No
NDARVV437NF6,0,12.165411,80.04,Yes,No
NDARRR570MC0,0,8.225872,-53.36,Yes,No
NDARXZ741VH0,1,15.957791,60.03,Yes,No
NDARFM811ZCE,0,14.465092,100.05,Yes,No
NDARWH939LPQ,0,9.071868,46.69,Yes,No
NDAREF150LNT,1,5.739561,53.36,Yes,No
NDARGP240ENJ,0,7.253593,100.05,Yes,No
NDARCM082AZD,0,6.380903,60.03,Yes,No
NDARAU044FP6,0,8.203969,66.7,Yes,No
NDARGG442NML,0,7.149555,90.05,Yes,No
NDARTL923DPX,0,13.43623,83.38,Yes,No
NDARTE580DV0,0,7.590919,73.37,Yes,No
NDARNT093ZD5,0,11.766141,86.71,Yes,No
NDARNL547DDH,1,11.330823,100.05,Yes,No
NDARVD028VU9,1,13.756673,-46.69,Yes,No
NDARDF166XVA,1,16.201232,-80.04,Yes,No
NDARRN626DC4,1,6.259867,31.15,Yes,No
NDARWT989KPJ,1,7.237736,-3.33,Yes,No
NDARAG798WM7,0,9.315195,100.05,Yes,No
